ID,Date,ReferenceNumber,Ref4
39019,2017-09-29,Google,Google 20170929.png
39020,2017-09-29,Google,Google 20170929.png
39331,2017-10-29,Google,Google 20171029.png
39332,2017-10-29,Google,Google 20171029.png
39348,2017-11-23,Probeslag,Probeslag 20171123.png
39350,2017-11-23,Probeslag,Probeslag 20171123.png
39412,2017-11-29,Google,Google 20171129.png
39413,2017-11-29,Google,Google 20171129.png
39862,2017-12-28,Google,Google 20171229.png
39863,2017-12-28,Google,Google 20171229.png
39872,2017-12-29,Kruidvat,kruidvat20171229.PNG
39873,2017-12-29,Kruidvat,kruidvat20171229.PNG
39975,2017-12-30,conrad,Conrad 20171230.png
39976,2017-12-30,conrad,Conrad 20171230.png
40167,2018-01-28,Google,Google 20180128.png
40168,2018-01-28,Google,Google 20180128.png
40624,2018-02-28,Google,Google 20180228.png
40625,2018-02-28,Google,Google 20180228.png
40626,2018-03-31,Google,Google 20180331.png
40627,2018-03-31,Google,Google 20180331.png
40745,2018-04-21,Google,Google 20180421.png
40748,2018-04-21,Google,Google 20180421.png
41026,2018-05-28,Google,Google 20180528.png
41027,2018-05-28,Google,Google 20180528.png
41320,2018-06-28,Google,Google 20180628.png
41321,2018-06-28,Google,Google 20180628.png
41450,2018-07-28,Google,Google 20180728.png
41451,2018-07-28,Google,Google 20180728.png
41591,2018-08-28,Google,Screenshot 2024-07-18 123609.png
41592,2018-08-28,Google,Screenshot 2024-07-18 123609.png
41721,2018-09-17,ReplaceDirect,Screenshot 2024-07-18 130739.png
41722,2018-09-17,ReplaceDirect,Screenshot 2024-07-18 130739.png
41795,2018-09-27,Thuisbakkerswinkel,Thuisbakkerswinkel 20180917.png
41796,2018-09-27,Thuisbakkerswinkel,Thuisbakkerswinkel 20180917.png
41801,2018-09-28,Kalsbeek,Kalsbeek 20180928.png
41802,2018-09-28,Kalsbeek,Kalsbeek 20180928.png
41853,2018-09-28,Google,Google 20180928.png
41854,2018-09-28,Google,Google 20180928.png
41881,2018-10-04,Thuisbezorgd,Thuisbezorgd 2081004.png
41882,2018-10-04,Thuisbezorgd,Thuisbezorgd 2081004.png
42051,2018-11-02,Google,Google 20181102.png
42052,2018-11-02,Google,Google 20181102.png
42315,2018-12-29,Amfa4000,Amfa4000 2024-07-22 235931.png
42316,2018-12-29,Amfa4000,Amfa4000 2024-07-22 235931.png
42632,2019-02-21,Hemar,Hemar 20190221.png
42633,2019-02-21,Hemar,Hemar 20190221.png
42930,2019-04-05,Sleiderink,Sleiderink 20190405.png
42931,2019-04-05,Sleiderink,Sleiderink 20190405.png
43270,2019-05-22,Thuisbakkerswinkel,Thuisbakkerswinkel 20190522.png
43271,2019-05-22,Thuisbakkerswinkel,Thuisbakkerswinkel 20190522.png
43824,2019-07-19,Sanitairkamer,Sanitairkamer 20170719.png
43842,2019-07-19,Sanitairkamer,Sanitairkamer 20170719.png
43843,2019-07-19,Sanitairkamer,Sanitairkamer 20170719.png
44578,2019-07-19,Sanitairkamer,Sanitairkamer 20170719.png
44127,2019-08-30,Volero,Volero 20190830.png
44128,2019-08-30,Volero,Volero 20190830.png
44230,2019-08-30,Volero,Volero 20190830.png
44147,2019-09-10,Karwei,Karwei 20190910.png
44148,2019-09-10,Karwei,Karwei 20190910.png
44258,2019-09-10,Karwei,Karwei 20190910.png
50117,2022-02-17,Google,Screenshot 2024-07-22 175316.png
50118,2022-02-17,Google,Jabaki.nl 2024-07-22.png
50119,2022-02-27,Google,pgeers.nl 2024-07-22.png
55243,2023-11-22,Briters,Briters 202311.png
55244,2023-11-22,Briters,Briters 202311.png
55866,2024-03-03,Action,I20240303.jpg
55867,2024-03-03,Action,I20240303.jpg
55928,2024-03-06,Provadie,HeinMakelaars2020306.jpg
55929,2024-03-06,Provadie,HeinMakelaars2020306.jpg
56107,2024-03-30,Action,20240330_134637.jpg
56108,2024-03-30,Action,20240330_134637.jpg
56621,2024-04-13,Action,20240425_120255.jpg
56622,2024-04-13,Action,20240425_120255.jpg
56939,2024-05-21,Xenos,20240521_161847.jpg
56940,2024-05-21,Xenos,20240521_161847.jpg
56949,2024-05-12,Hornbach,20240512_150943.jpg
56950,2024-05-12,Hornbach,20240512_150943.jpg
56951,2024-05-12,Hornbach,20240512_150821.jpg
56952,2024-05-12,Hornbach,20240512_150821.jpg
57093,2024-06-06,Action,20240606_114557.jpg
57094,2024-06-06,Action,20240606_114557.jpg
57133,2024-06-17,Blokker,20240614_164059.jpg
57134,2024-06-17,Blokker,20240614_164059.jpg
57135,2024-06-12,SoLow,20240612_131640.jpg
57136,2024-06-12,SoLow,20240612_131640.jpg
57422,2024-07-21,Briters,Briters 20240721.png
57423,2024-07-21,Briters,Briters 20240721.png
58193,2024-10-30,Jumbo,20241030_114707.jpg
58194,2024-10-30,Jumbo,20241030_114707.jpg
58756,2024-12-31,Sikkens,sikkens20241231.pdf
58757,2024-12-31,Sikkens,sikkens20241231.pdf
59951,2025-05-13,Intratuin,Intratuin 202505.jpg
59952,2025-05-13,Intratuin,Intratuin 202505.jpg
